Stimulus,IsWord,Valence,CorrectResponse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructionsText.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,ParticipantResponse,CorrectResponse,End.started,text_z.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0042213000000401735,0.021128799999985404,0.021128799999985404,40.03635320000001,space,39.9403054,None,,,,,,,,,,,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
s u n s h i n e,1.0,positive,m,0,0,0,30,40.078217300000006,,,,,,,,,40.05974500000002,40.078217300000006,40.078217300000006,40.593658800000014,41.6421861,m,1.5583429000000137,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
m o u n t a i n,1.0,neutral,m,0,1,1,71,41.65747070000003,,,,,,,,,41.643451700000014,41.65747070000003,41.65747070000003,42.17274689999999,42.2401845,m,0.5760415999999964,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
a n g e r,1.0,negative,m,0,2,2,44,42.25555050000003,,,,,,,,,42.24072620000004,42.25555050000003,42.25555050000003,42.77100580000001,42.93859050000003,m,0.6713135999999622,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
a p p l e,1.0,neutral,m,0,3,3,32,42.953865500000006,,,,,,,,,42.93918660000003,42.953865500000006,42.953865500000006,43.46918210000001,43.48664880000001,m,0.5308239999999955,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
v o b l i t,0.0,non-word,z,0,4,4,38,43.50204690000004,,,,,,,,,43.48719410000001,43.50204690000004,43.50204690000004,44.00107919999999,44.05179390000001,z,0.5391738999999802,None,z,z,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
g l o r b y,0.0,non-word,z,0,5,5,28,44.06801010000004,,,,,,,,,44.05234340000004,44.06801010000004,44.06801010000004,44.58251360000003,44.63433180000004,z,0.5577319000000216,None,z,z,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
c a b l e,1.0,neutral,m,0,6,6,78,44.64923590000001,,,,,,,,,44.63505650000002,44.64923590000001,44.64923590000001,45.164529800000025,45.232094399999994,m,0.5772223000000167,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
l a m p,1.0,neutral,m,0,7,7,18,45.247718099999986,,,,,,,,,45.232635200000004,45.247718099999986,45.247718099999986,45.76248300000003,45.76357710000002,m,0.5030781000000388,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
p e n c i l,1.0,neutral,m,0,8,8,24,45.77942490000004,,,,,,,,,45.764214200000026,45.77942490000004,45.77942490000004,46.29437139999999,46.36257219999999,m,0.5698736000000508,None,m,m,,,,008,001,2024-11-23_09h55.16.816,Lexical Decision Making,2024.1.5,None,2024-11-23 09h55.26.863514 +0530,
