Stimulus,IsWord,Valence,CorrectResponse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructionsText.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,ParticipantResponse,CorrectResponse,End.started,text_z.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.020150300002569566,0.03660710000258405,0.03660710000258405,59.258872400001565,space,59.20915099999911,None,,,,,,,,,,,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
d r i n t,0.0,non-word,z,0,0,0,36,59.29109370000151,,,,,,,,,59.28016340000249,59.29109370000151,59.29109370000151,60.30493810000189,61.76886190000005,z,2.473351199998433,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
c o m f o r t,1.0,positive,m,0,1,1,59,61.78396570000041,,,,,,,,,61.77001640000162,61.78396570000041,61.78396570000041,62.79839090000314,62.79961000000185,m,1.0000180000024557,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
w a r,1.0,negative,m,0,2,2,67,62.81490280000071,,,,,,,,,62.800147200003266,62.81490280000071,62.81490280000071,,63.63093170000138,m,0.7984853000016301,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
f e a r f u l,1.0,negative,m,0,3,3,2,63.64591620000283,,,,,,,,,63.63147910000043,63.64591620000283,63.64591620000283,,64.52804300000207,m,0.8781038000015542,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
d e l i g h t,1.0,positive,m,0,4,4,39,64.54327920000287,,,,,,,,,64.52859020000324,64.54327920000287,64.54327920000287,,65.39258760000303,m,0.8433752000019012,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
d e s p a i r,1.0,negative,m,0,5,5,56,65.40802520000216,,,,,,,,,65.3931169000025,65.40802520000216,65.40802520000216,,66.04048909999983,m,0.6203908999996202,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
t a b l e,1.0,neutral,m,0,6,6,6,66.05611910000152,,,,,,,,,66.04104619999998,66.05611910000152,66.05611910000152,,66.57195120000324,m,0.5133697999990545,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
d r o n t,0.0,non-word,z,0,7,7,95,66.58791000000201,,,,,,,,,66.57253140000103,66.58791000000201,66.58791000000201,,67.22095190000255,z,0.6174658000018098,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
h o p e,1.0,positive,m,0,8,8,46,67.23608530000274,,,,,,,,,67.22177840000222,67.23608530000274,67.23608530000274,,68.00203780000083,m,0.7570656000025338,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
m u r k l e,0.0,non-word,z,0,9,9,66,68.01755240000057,,,,,,,,,68.00259940000251,68.01755240000057,68.01755240000057,,68.61715050000203,z,0.582254600001761,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
w i n d o w,1.0,neutral,m,0,10,10,80,68.63293230000272,,,,,,,,,68.61774450000303,68.63293230000272,68.63293230000272,,69.26492770000186,m,0.6229096999995818,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
p a i n,1.0,negative,m,0,11,11,83,69.28044370000134,,,,,,,,,69.26545940000142,69.28044370000134,69.28044370000134,,70.06255580000288,m,0.7770850000015344,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
s o r r o w,1.0,negative,m,0,12,12,33,70.07876360000228,,,,,,,,,70.06313020000016,70.07876360000228,70.07876360000228,,70.7281346000018,m,0.6409144000026572,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
l o m e b,0.0,non-word,z,0,13,13,90,70.74308350000138,,,,,,,,,70.7287533000017,70.74308350000138,70.74308350000138,,71.47540600000139,z,0.7299839999977848,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
p l o r,0.0,non-word,z,0,14,14,52,71.4910060000002,,,,,,,,,71.47594340000069,71.4910060000002,71.4910060000002,,72.25655850000112,z,0.761614399998507,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
g r i n d l e,0.0,non-word,z,0,15,15,54,72.27216380000027,,,,,,,,,72.2574964000014,72.27216380000027,72.27216380000027,,73.10481290000098,z,0.8283049999990908,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
g l o r b y,0.0,non-word,z,0,16,16,28,73.11995139999999,,,,,,,,,73.10535200000231,73.11995139999999,73.11995139999999,,74.10216430000219,z,0.9660889000006136,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
g r i e f,1.0,negative,m,0,17,17,81,74.11734020000222,,,,,,,,,74.102767700002,74.11734020000222,74.11734020000222,,74.85027980000086,m,0.7314958999995724,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
h a t e,1.0,negative,m,0,18,18,74,74.86533840000266,,,,,,,,,74.85081160000118,74.86533840000266,74.86533840000266,,75.61548650000259,m,0.7470075000019278,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
v o b l i t,0.0,non-word,z,0,19,19,38,75.6304041000003,,,,,,,,,75.61606830000164,75.6304041000003,75.6304041000003,,76.39569090000077,z,0.7505395000007411,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
r e g r e t,1.0,negative,m,0,20,20,64,76.41105750000133,,,,,,,,,76.39642260000255,76.41105750000133,76.41105750000133,77.42492610000045,77.45949140000084,m,1.032491599999048,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
g r i n d l e,0.0,non-word,z,0,21,21,3,77.47491540000192,,,,,,,,,77.46033069999976,77.47491540000192,77.47491540000192,,78.30664750000142,m,0.8163669000023219,None,m,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
v i c t o r y,1.0,positive,m,0,22,22,25,78.32254280000052,,,,,,,,,78.30720819999988,78.32254280000052,78.32254280000052,,79.20460950000052,z,0.8789242000020749,None,z,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
s m o r n,0.0,non-word,z,0,23,23,14,79.22009740000067,,,,,,,,,79.20513580000261,79.22009740000067,79.22009740000067,80.23382210000273,82.56181180000203,z,3.324692400001368,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
g r i e f,1.0,negative,m,0,24,24,50,82.57752600000094,,,,,,,,,82.56238730000041,82.57752600000094,82.57752600000094,83.59140000000116,83.95837850000316,m,1.3699946999986423,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
l o v e,1.0,positive,m,0,25,25,0,83.97382870000001,,,,,,,,,83.95891140000094,83.97382870000001,83.97382870000001,,84.55626370000027,m,0.5681487000001653,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
z a r f e t,0.0,non-word,z,0,26,26,31,84.57210940000004,,,,,,,,,84.55680570000186,84.57210940000004,84.57210940000004,,85.28841390000161,z,0.7152209000014409,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
k i n d n e s s,1.0,positive,m,0,27,27,82,85.303155900001,,,,,,,,,85.28929290000087,85.303155900001,85.303155900001,,86.0192597000023,m,0.708864000000176,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
s m a g l e,0.0,non-word,z,0,28,28,53,86.03470500000185,,,,,,,,,86.01992170000085,86.03470500000185,86.03470500000185,87.04846550000002,87.18298380000124,z,1.1328662000014447,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
z o m p r e,0.0,non-word,z,0,29,29,73,87.19867720000184,,,,,,,,,87.18351640000037,87.19867720000184,87.19867720000184,,87.78153329999986,z,0.5702333999979601,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
s u n s h i n e,1.0,positive,m,0,30,30,30,87.7969574000017,,,,,,,,,87.78223650000291,87.7969574000017,87.7969574000017,,88.48253600000317,m,0.6776094999986526,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
p l a r k,0.0,non-word,z,0,31,31,16,88.4946325000019,,,,,,,,,88.48309050000171,88.4946325000019,88.4946325000019,89.50845580000168,89.59308390000297,z,1.093365199998516,None,z,z,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
c a r p e t,1.0,neutral,m,0,32,32,85,89.60842820000107,,,,,,,,,89.59366260000024,89.60842820000107,89.60842820000107,,90.34114780000164,m,0.7257796000012604,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
a c h i e v e m e n t,1.0,positive,m,0,33,33,27,90.356294600002,,,,,,,,,90.34167610000077,90.356294600002,90.356294600002,,91.02269130000059,m,0.6595238999980211,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
f e a r f u l,1.0,negative,m,0,34,34,98,91.03783269999985,,,,,,,,,91.0232130000004,91.03783269999985,91.03783269999985,,91.55392950000169,z,0.513195600000472,None,z,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
j o y f u l,1.0,positive,m,0,35,35,19,91.56962920000296,,,,,,,,,91.554457000002,91.56962920000296,91.56962920000296,92.58360929999981,92.6185835000033,m,1.0372075000013865,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
s a d n e s s,1.0,negative,m,0,36,36,88,92.63322859999971,,,,,,,,,92.61913210000057,92.63322859999971,92.63322859999971,,93.16665420000209,m,0.5224265000033483,None,m,m,,,,06,001,2024-11-20_23h46.44.272,Lexical Decision Making,2024.1.5,None,2024-11-20 23h46.53.927116 +0530,
