delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400.0,unexp,0,0,0,1,0.027827200014144182,,0.016462799976579845,0.027827200014144182,1.0085613999981433,1.0085613999981433,1.0417009000084363,1.0622430000221357,space,0.04838569997809827,None,1.063114000018686,1.4745052666442158,1.790887199982535,1.7750078000244685,1.7750411999877542,1.790887199982535,1.790887199982535,1.790887199982535,5.78080469998531,200,1,[4.003868100000545],[4.003882099990733],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,400.0,unexp,0,1,1,0,5.796614599996246,,5.781913799990434,5.796614599996246,6.79343429999426,6.79343429999426,6.810010800021701,7.7417839000117965,space,0.9395003999816254,None,7.742178799991962,7.857028566653995,8.172227600007318,8.1586087999749,8.158630300022196,8.172227600007318,8.172227600007318,8.172227600007318,13.329478100000415,200,1,[5.1695753000094555],[5.169583200011402],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,0,2,2,4,13.341270199976861,,13.330269199970644,13.341270199976861,14.338749699993059,14.338749699993059,14.355021899973508,14.65553779999027,space,0.3007733999984339,None,14.656440299993847,15.069996066686388,15.386000700003933,15.36919170001056,15.369212499994319,15.386000700003933,15.386000700003933,15.386000700003933,18.781564500008244,300,1,[3.410953399958089],[3.410966199997347],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,400.0,unexp,0,3,3,2,18.79323850001674,,18.782694800000172,18.79323850001674,19.79062609997345,19.79062609997345,19.80722409998998,20.14039050001884,space,0.33556579996366054,None,20.140776599990204,20.85452956665928,21.169990599970333,21.15062690002378,21.15066250000382,21.169990599970333,21.169990599970333,21.169990599970333,25.881319699983578,700,1,[4.7285928999772295],[4.728607100027148],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,0,4,4,6,25.891359000001103,,25.882265100022778,25.891359000001103,26.888300599996,26.888300599996,26.904903099988587,29.632195800018962,space,2.727940399956424,None,29.632867400010582,29.747728666643766,30.063349000003655,30.048025199968833,30.04805410001427,30.063349000003655,30.063349000003655,30.063349000003655,34.53909839998232,200,1,[4.4895474999793805],[4.489555099979043],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,0,5,5,3,34.55104260001099,,34.53969619999407,34.55104260001099,35.54851990001043,35.54851990001043,35.56498329999158,37.7100246999762,space,2.1470903999870643,None,37.71059759997297,37.825409566638214,38.14122220000718,38.1213146999944,38.1213516999851,38.14122220000718,38.14122220000718,38.14122220000718,40.31929959997069,300,1,[2.1959007999976166],[2.1959123000269756],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,0,6,6,8,40.33422610000707,,40.320512100006454,40.33422610000707,41.33205760002602,41.33205760002602,41.348328899999615,42.678920899983495,space,1.3312237999634817,None,42.679656799999066,43.393172166663376,43.70848189998651,43.689700499991886,43.6897354000248,43.70848189998651,43.70848189998651,43.70848189998651,46.123162399977446,200,1,[2.43155520001892],[2.431562200014014],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,0,7,7,10,46.13493569998536,,46.123825400019996,46.13493569998536,47.132511399977375,47.132511399977375,47.14958480000496,47.64972679998027,space,0.5159878999693319,None,47.65058149996912,48.06391406665013,48.378607199992985,48.36117549997289,48.361199099977966,48.378607199992985,48.378607199992985,48.378607199992985,49.8137080000015,400,1,[1.4512832000036724],[1.451290600001812],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,0,8,8,11,49.82489330001408,,49.8147772999946,49.82489330001408,50.822323100001086,50.822323100001086,50.83936220000032,53.4495229999884,space,2.6150050000287592,None,53.45034759998089,54.16360776668104,54.47930800000904,54.46280829998432,54.46283019997645,54.47930800000904,54.47930800000904,54.47930800000904,55.90980580000905,700,1,[1.4457112000091001],[1.4457226000376977],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,0,9,9,5,55.925853899971116,,55.91041489999043,55.925853899971116,56.922535500023514,56.922535500023514,56.93932260002475,57.189766599971335,space,0.25247060001129285,None,57.19060580001678,57.90350916667764,58.2186640999862,58.20654340001056,58.206578899989836,58.2186640999862,58.2186640999862,58.2186640999862,61.31163780001225,300,1,[3.1029661999782547],[3.102977800008375],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
