stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.05477320007048547,,0.02305970003362745,0.05477320007048547,0.5037744999863207,0.5037744999863207,0.5544636000413448,0.8186670000432059,2.101974999997765,right,10.0,1,1,1.584367800038308,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
1,2,8.0,2.114123700070195,,2.1020677000051364,2.114123700070195,2.6137328000040725,2.6137328000040725,2.6137328000040725,2.9284218000248075,3.0958259999752045,right,8.0,1,1,0.47150160011369735,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
2,1,6.0,3.1122810000088066,,3.095907900016755,3.1122810000088066,3.6101956999627873,3.6101956999627873,3.627457099966705,3.909419300034642,4.060736300074495,left,-6.0,0,0,0.4463776999618858,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
3,1,7.0,4.076008800067939,,4.060882300022058,4.076008800067939,4.574990299995989,4.574990299995989,4.5914477000478655,4.873200200032443,8.58045290003065,left,-7.0,0,0,3.996494699968025,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
4,1,8.0,8.596415500040166,,8.58053789997939,8.596415500040166,9.095334999961779,9.095334999961779,9.111291900044307,9.411117600044236,9.677426800015382,left,-8.0,1,1,0.5679183000465855,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
5,1,8.0,9.693381099961698,,9.677505400031805,9.693381099961698,10.192150400020182,10.192150400020182,10.209095800062642,10.491408800007775,10.791382999974303,right,8.0,1,1,0.5893046000273898,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
6,1,8.0,10.807013400015421,,10.791461699991487,10.807013400015421,11.306116900057532,11.306116900057532,11.322726399987005,11.621178400004283,12.287193699972704,left,-8.0,1,1,0.9751815000781789,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
7,1,7.0,12.302943199989386,,12.287279000040144,12.302943199989386,12.80191390006803,12.80191390006803,12.818117700051516,13.117580299964175,16.508948000031523,left,-7.0,1,1,3.7028746999567375,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
8,0.5,7.0,16.524333300068974,,16.509030200075358,16.524333300068974,17.022839799989015,17.022839799989015,17.040044000023045,17.32249330007471,17.556516000069678,right,7.0,0,0,0.5208246000111103,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
9,0.5,7.5,17.57136519998312,,17.556601400021464,17.57136519998312,18.070332000032067,18.070332000032067,18.070332000032067,18.370073699974455,18.386857800069265,left,-7.5,0,0,0.3125980000477284,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
